NET_INCOME,OP_PROFIT_LOSS,OP_REVENUES,OP_EXPENSES,INCOME_PRE_TAX,INCOME_TAX,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,REGION,YEAR,QUARTER
97023.74,97023.74,1635109.68,1538085.95,97023.74,0,AA,American Airlines Inc.,American Airlines Inc.,L,2023,3
97493,133102,655689,522587,116317,18824,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,P,2023,3
98156,58679,661352,602673,109922,11766,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,P,2023,4
101145.44,133522.26,529250.74,395728.48,132216.26,31070.82,5X,United Parcel Service,United Parcel Service,P,2023,3
101389.35,137545.68,475893.04,338347.36,135005.79,33616.44,5X,United Parcel Service,United Parcel Service,P,2023,2
102896.85,98508.17,711062.49,612554.32,94067.05,-8829.8,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,D,2023,3
104337,129245,626989,497744,125614,21277,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,P,2023,2
109905.2,126723.41,546198.85,419475.44,123627.89,13722.7,5X,United Parcel Service,United Parcel Service,P,2023,4
116213.91,171934.08,1259026.26,1087092.17,149829.02,33615.11,UA,United Air Lines Inc.,United Air Lines Inc.,P,2023,2
124857,162891,974257,811366,157347,32490,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,L,2023,2
135770.26,199053.99,1316266.65,1117212.65,178693.63,42923.36,UA,United Air Lines Inc.,United Air Lines Inc.,L,2023,1
136824.61,175548.35,534065.27,358516.92,173195.71,36371.1,5X,United Parcel Service,United Parcel Service,P,2023,1
147690,190805,2728664,2537859,196153,48462,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,D,2023,3
158234,98265,1011224,912959,176107,17873,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,L,2023,4
181322.68,201189.56,720957.29,519767.73,198575.41,17252.73,5Y,Atlas Air Inc.,Atlas Air Inc.,I,2023,2
187179,113787,6325725,6211938,229728,42549,WN,Southwest Airlines Co.,Southwest Airlines Co.,D,2023,3
203072.13,295915.63,1378130.32,1082214.69,265246.49,62174.36,UA,United Air Lines Inc.,United Air Lines Inc.,P,2023,3
204885.14,204885.14,1847377.16,1642492.02,204885.14,0,AA,American Airlines Inc.,American Airlines Inc.,L,2023,4
235681,339651,2694962,2355311,317065,81384,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,D,2023,2
247678.32,290886.58,694046.9,403160.31,284299.67,36621.35,B6,JetBlue Airways,JetBlue Airways,L,2023,3
294006.71,822511.12,9307001.56,8484490.44,312145.96,18139.24,AA,American Airlines Inc.,American Airlines Inc.,D,2023,4
304965.51,430385.5,3228753.54,2798368.04,393424.52,88459.01,UA,United Air Lines Inc.,United Air Lines Inc.,A,2023,2
311187,180030,2176767,1996737,350278,39091,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,A,2023,4
336987.32,336987.32,1798322.7,1461335.38,336987.32,0,AA,American Airlines Inc.,American Airlines Inc.,L,2023,2
356274.83,356274.83,2123188.47,1766913.64,356274.83,0,AA,American Airlines Inc.,American Airlines Inc.,L,2023,1
414969.54,606293.11,3542580.88,2936287.77,541972.16,127002.62,UA,United Air Lines Inc.,United Air Lines Inc.,A,2023,3
449495.59,720931.57,8378563.65,7657632.08,587156.68,137661.1,UA,United Air Lines Inc.,United Air Lines Inc.,D,2023,3
493731,684911,3468590,2783679,594793,101062,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,A,2023,3
530939,657744,3148176,2490432,639262,108323,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,A,2023,2
538978,1056742,10578432,9521690,808047,269069,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,D,2023,3
561865.49,838713.47,8436800.33,7598086.86,721828.94,159963.46,UA,United Air Lines Inc.,United Air Lines Inc.,D,2023,4
579590.49,806094.52,8417621.5,7611526.98,747609.92,168019.43,UA,United Air Lines Inc.,United Air Lines Inc.,D,2023,2
657189,764539,6768542,6004003,852485,195297,WN,Southwest Airlines Co.,Southwest Airlines Co.,D,2023,2
924309,1309203,6677516,5368313,1184780,260471,FX,Federal Express Corporation,Federal Express Corporation,D,2023,1
1048548.1,1795694.9,9762724.41,7967029.51,1500855.12,452307.02,AA,American Airlines Inc.,American Airlines Inc.,D,2023,2
1060395,1311250,6428728,5117478,1257204,196809,FX,Federal Express Corporation,Federal Express Corporation,D,2023,3
1113926,1268321,6438317,5169996,1458446,344520,FX,Federal Express Corporation,Federal Express Corporation,D,2023,2
1153288,1533243,10888168,9354925,1481621,328333,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,D,2023,2
1193347,1356577,6767553,5410976,1419373,226026,FX,Federal Express Corporation,Federal Express Corporation,D,2023,4
1550496,987203,10407790,9420587,1719891,169395,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,D,2023,4
